196.PRJNA259858.KU70_00910	196.PRJNA259858.JRKX01000007	CDS	867	1505	2371	-	Yes	Yes	32.1799307958	-	annotation product=protease tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT37070.1 GI=706089513 
196.PRJNA259858.KU70_00915	196.PRJNA259858.JRKX01000007	CDS	315	2371	2685	-	Yes	Yes	33.0158730159	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT37071.1 GI=706089514 
196.PRJNA259858.KU70_04755	196.PRJNA259858.JRKX01000033	CDS	1002	16103	17104	+	Yes	Yes	31.5369261477	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36591.1 GI=706088970 
196.PRJNA259858.KU70_04770	196.PRJNA259858.JRKX01000033	tRNA	77	18079	18155	-	Yes	Yes	55.8441558442	tRNA	annotation tax_id_proj_id=196.PRJNA259858 product=tRNA-Met project_id=PRJNA259858 cog=- 
196.PRJNA259858.KU70_07005	196.PRJNA259858.JRKX01000064	CDS	324	26696	27019	+	Yes	Yes	27.4691358025	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36308.1 GI=706088618 
196.PRJNA259858.KU70_09655	196.PRJNA259858.JRKX01000142	CDS	648	22	672	-	No	No	37.6543209877	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT35971.1 GI=706088113 
196.PRJNA259858.KU70_06370	196.PRJNA259858.JRKX01000054	CDS	1146	209	1354	-	Yes	Yes	26.8760907504	-	annotation product=glycosyl transferase family 1 tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36362.1 GI=706088695 
196.PRJNA259858.KU70_06380	196.PRJNA259858.JRKX01000054	CDS	186	3584	3769	-	Yes	Yes	22.5806451613	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36363.1 GI=706088696 
196.PRJNA259858.KU70_06385	196.PRJNA259858.JRKX01000054	CDS	1185	3769	4953	-	Yes	Yes	29.3670886076	-	annotation product=ABC transporter tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36364.1 GI=706088697 
196.PRJNA259858.KU70_06390	196.PRJNA259858.JRKX01000054	CDS	765	4950	5714	-	Yes	Yes	27.8431372549	-	annotation product=ABC transporter permease tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36365.1 GI=706088698 
196.PRJNA259858.KU70_06415	196.PRJNA259858.JRKX01000054	CDS	555	10509	11063	-	Yes	Yes	32.6126126126	-	annotation product=thioredoxin tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36366.1 GI=706088699 
196.PRJNA259858.KU70_06420	196.PRJNA259858.JRKX01000054	CDS	630	11116	11745	+	Yes	Yes	30.1587301587	-	annotation product=5,10-methenyltetrahydrofolate synthetase tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36367.1 GI=706088700 
196.PRJNA259858.KU70_06425	196.PRJNA259858.JRKX01000054	CDS	1554	11678	13231	+	Yes	Yes	35.1994851995	-	annotation product=ribonuclease Y tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36368.1 GI=706088701 
196.PRJNA259858.KU70_06435	196.PRJNA259858.JRKX01000054	CDS	570	13835	14404	+	Yes	Yes	31.0526315789	-	annotation product=membrane protein tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36369.1 GI=706088702 
196.PRJNA259858.KU70_06440	196.PRJNA259858.JRKX01000054	CDS	1290	14401	15690	+	Yes	Yes	25.7364341085	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36370.1 GI=706088703 
196.PRJNA259858.KU70_06460	196.PRJNA259858.JRKX01000055	CDS	1398	1471	2868	-	Yes	Yes	39.4849785408	-	annotation product=fumarate hydratase gene=fumC tax_id_proj_id=196.PRJNA259858 EC_number=4.2.1.2 note=class II family (does not require metal); tetrameric enzyme; fumarase C; reversibly converts (S)-malate to fumarate and water; functions in the TCA cycle; Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36355.1 GI=706088686 
196.PRJNA259858.KU70_06470	196.PRJNA259858.JRKX01000055	CDS	969	5660	6628	+	Yes	Yes	33.746130031	-	annotation product=methionine ABC transporter ATP-binding protein tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36356.1 GI=706088687 
196.PRJNA259858.KU70_04370	196.PRJNA259858.JRKX01000031	CDS	270	1329	1598	-	Yes	Yes	32.2222222222	-	annotation tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36621.1 GI=706089005 
196.PRJNA259858.KU70_06480	196.PRJNA259858.JRKX01000055	CDS	822	7292	8113	-	Yes	Yes	37.3479318735	-	annotation product=phosphomethylpyrimidine kinase tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36357.1 GI=706088688 
196.PRJNA259858.KU70_06485	196.PRJNA259858.JRKX01000055	CDS	774	8398	9171	+	Yes	Yes	33.3333333333	-	annotation product=methionine ABC transporter substrate-binding protein tax_id_proj_id=196.PRJNA259858 note=Derived by automated computational analysis using gene prediction method: Protein Homology. cog=- project_id=PRJNA259858 protein_id=KGT36358.1 GI=706088689 
